,id,name,type,time_limit,score,passed_minimum,level,price,number_of_questions,quiz_session_number_of_user,quiz_session_avg_user_score,questtions
0,5,Use of English - Part 2,2,1800,10,5,8,5000.0,42,0,0.0,the popular action movie by a film student last night's fireworks display was so good that it the reporter said about the protest was not true we are taking the ferry to the island i wouldn't pass up the chance to study abroad if i you nancy her mom because they both love to dance it is really to learn about the stars in the night sky all of the children are looking forward to the museum marcus has been trying to lose weight he can't remember when they are having a hard time getting concert tickets and instead of yourself you should forget the whole thing we need to hurry if you want to the next bus many people were sound asleep when the earthquake they had to change their product's name because someone it already all of your assignments handed in by monday i've breakfast this morning passing the last test evan failed the entire course would you mind these shirts to the cleaner's for me i don't have money myself so i can't really help you which is the odd one out in this set paul plans to the family business after his father retires lisa can't remember where the parents made their children all their vegetables before they could leave the table how about off your credit cards before buying anything else which is the odd one out in this set which is the odd one out in this set none of us like going anywhere right now i have no idea you left your tennis racket with her relationship not going anywhere ann decided to break up with josh the painting carefully before it was packed into a box either the boys or gina to that band's concert before you guys out for too long so get back to work adrian informed us that he an interview with a big computer company yesterday most children would rather than do their homework this is the website we bought our used car we wanted to grab a quick bite to eat but that director's new movie is coming out july my electronic device can take both photographs videos kelly was just looking for her keys are these we'd better get down to business which word in the reading means advanced water molecules include
1,3,Use of English - Part 1,2,1800,10,5,8,5000.0,30,0,0.0,luke and laura mountain climbing every weekend since 2000 i plan on participating the school play this year we learnt about a tomato throwing festival takes place in spain which is the odd one out in this set rachel's birthday is coming soon so i need to get her a present which is the odd one out in this set my friend asked he could borrow my phone to make a call they informed you about the change in schedule   ideas is a great way to understand how other people think the young girl isn't having her picture taken six weeks a long time to wait for a package neither the parents nor their child hurt in the fire sam was reminded of his ex wife he looked in the house in order to get the out of this device you should turn it off when not in use the moon goes around the earth it which is the odd one out in this set doug never gets sleep so he's always tired new york city is also called the big apple is my hometown sarah some clothes in the dressing room when the lights went out larry applied a scholarship because his parents couldn't afford to send him to college why are teddy bears called teddy what did roosevelt think was unfair when did michtom start making stuffed bears roosevelt's friends caught a bear for him because which word in paragraph three means ldquolooked likerdquo why are teddy bears passed down from one generation to the next teddy bears are really good which word in paragraph one means the opposite of rough when did roosevelt go hunting in the woods with his friends which word in paragraph two means tried
2,4,Level test,2,1800,10,5,8,,99,0,0.0,the planein at seven o'clock last night the only thingmatters is life welike to thank you for your application he's doctor of law she like chocolates the studentpapers bag is that tell her professor next time he to see his mother yesterday he very hard now they have beautiful books she for fifteen years and still likes the job up or we'll be late their grades are than ours do you smoke no i look what i a new watch excuse me can i borrow dictionary the teacher isthe room he's been sent toprison you busy they work everyday at 7 o'clock do you do look at the clouds i think it i feel sick itoo much cake earlier hey turn the radio down ito work can i havechocolate phoned yet in the name of the law he is therunner he won nothing quotare you a student tooquot quotquot excuse methe time the coats belong to we don't need the car we'll go we have a car toyota to london before in england the banksat 330 pm jacket is that paul's quotwhat are you doing next mondayquot quotito new york i have my ticketquot where you use to work look there the robbers away please tell me helpful he looks angry he his wallet a move on we haven't got all day she is intelligent than him quotare you happyquot quotyes i helliphelliphellip quot look they a new house quotwhose book is thatquot quotit's hellip quot i'm meeting her 4o39clock hellip monday helliphellip you assist me later sir you finish the project yesterday when i was younger iswim ten miles he always drives too if ia million pounds i would buy a house it is may quotin june i finished my examsquot it's the fifteenth march the shoesin italy she said that heshopping when i saw john last sunday he was tired hea party the night before i have been working here1990 there is the womanshot the president rosemary is a cousin of is not just his sport it's his hobby where shall we meetat the stadium when the phone rang shethe meal quot you run ten milesquot quotyes but i haven't for a long timequot the president always works helliphelliphelliphellip if it rains youtake a taxi this time next week ion the beach he put the papers the drawer on the news quotthe presidentshotquot then she said that i her to stop seeing him he told us that before visiting jamaica he the usa how long have you worked here have you seen the booki was reading he is always thinking about i can't help helliphelliphelliphellip her she gets paid more than quotwhatat seven o'clock yesterday eveningquot quoti was watching tvquot he said made me very angry quotyou accompany us sirquot the policeman said shakespeare helliphelliphelliphellip many plays youhave been here an hour ago but you didn't show up the herald tribune is apaper i would tell you his name if i helliphelliphelliphellip it this year my new year's resolutions are that i learn tennis buy a car sell my house etc could you translate this document latin the winnera prize i asked her if she to marry me after i for a couple of hours i decided to stop he was studying at university helliphellip three years a good architect is one houses don't collapse the street lights switch helliphelliphellip on in the evening he considered himself to the board britain exports more than helliphelliphelliphellip imports he helliphellip his leg while he helliphellip rugby this is mike smith helliphelliphelliphellip works with my friend i help you sir they the jewellery and walked out of the retail outlet as if they hadn't done anything i get up at six o'clock this morning without much difficulty
3,6,Use of English – Part3,2,1800,10,5,8,,66,0,0.0,what is the ibot 3000 how do the elderly benefit from technology which appliances are not mentioned as being able to speak computers that can are being developed by the swiss what will people be able to do with their brains in the future which word or phrase in paragraph four is similar in meaning to blind what do technological advances do for most people the ibot 3000 can what does voice recognition software do the law requires equal treatment for all race the mayor just a new multimillion dollar community center the place julie desires to visit the most is barcelona by the news about her son the woman collapsed to the ground if people the environment the world wouldn't be in a mess now everyone wolfed their food because they only had five minutes to eat which is the odd one out in this set in the past female athletes from the olympic games the coach suggested everyone to warm up before practice you plan on missing your flight you'd better run people who are not members from entering the club he got his artificial limb jimmy has been on top of the world you need someone to listen i'll be there for you tina's problem is she's wasting her extraordinary gift if they don't they could always try out for the team next year which is the odd one out in this set which is the odd one out in this set which is the odd one out in this set which is the odd one out in this set which is the odd one out in this set which is the odd one out in this set which is the odd one out in this set which is the odd one out in this set which is the odd one out in this set which is the odd one out in this set i really love the idea of having a cosplay party it's far the designer his new fashion line for a while before he started putting it down on paper tom is looking for a woman who is knowledgeable little realize they were being tricked out of their money we're out of milk right i out and get some right now that particular species of animal to this area by sailors from the west what about attention in class for a change some of my friends prefer camping in the woods while would rather stay in fancy hotels we're running out of time we should start heading back what do you recommend we while we're in bangkok to tell you the we don't have enough savings to take a vacation this year adam is never late so he run into some trouble i'm next in line at this company for a promotion will the person car is blocking the emergency exit please come to the front counter i paid a visit to the woman i adopted my cats everyone would love to be in a loving relationship we would donate all the money to charity if we the lottery her outfits are always vogue you tv for the past six hours don't you think you should take a break scott is way too upset and really needs to loosen why don't you let me instead of calling the shots all the time emily hasn't been back to the us since 2005 the landscapes the artist paints are lively and full of color some of my classmates find modern art very we were waiting when a rude man cut in front of us the boss the office soon so you'd better go see her now they somehow managed to get their car for free you used to teach people how to play the piano in the past children their free time playing outdoors instead of playing video games indoors  the manager got all the employees in his department early for a meeting none of us into that haunted house last night i such sparkling ocean water until i visited lanikai beach in hawaii
4,7,READING COMPREHENSION TEST 1,2,1800,10,5,8,0.0,20,0,0.0,a this story is mainly about the ship in this story a globe is shaped like this story is mainly about the sea creatures in the story a child in darkness in bed is like the quotheavensquot in this story are during which season does the world put on a green dress this story is mainly about what is the season described at the end of the story what is it that the world cannot keep for us this story is mainly about the st lawrence river is full of water from water that flows into the great lakes flows on into the which one of these is not a shape this story is mainly about piles were dug up by the piles are made up of ndash we learned that alaska was once warm from the pin on the orange is most like
5,8,READING COMPREHENSION TEST 2,2,1800,10,5,8,0.0,22,0,0.0,a this story is mainly about water in the great lakes might someday flow into the mississippi river because which statement is most true water flowing downhill is the sign of long ago water in the great lakes flowed this story is mostly about a sleeping volcano quotdeadquot in this story means before it was blown apart mount saint helens was which statement is most true this story is mostly about moraines are made up of there are not as many lakes in the south as in the north because which of these statements is not true the indians had never seen the settlers had never seen the explorers had never seen dogs were the pueblo indians were afraid of the spaniards called these indians quotpueblosquot because they water in ditches flowed down from which of these does the story not mention
6,9,READING COMPREHENSION TEST 3,2,1800,10,5,8,0.0,20,0,0.0,this story is mainly about the dead fish in the story was used why did the indians kill the trees which of these is not mentioned in the story this story is mainly about why is it better to raise animals than to hunt for them which of these is not a tool this story is mainly about sachems were chosen from among the word quotclanquot describes the head war chief was the head war chief of this story is mainly about quotpreyquot in this story means indians moved quietly so that they the prey sometimes got away because this story is mainly about both the mayas and the aztecs north american indians the workmen in this story were the indians made tools out of
7,10,READING COMPREHENSION TEST 4,2,1800,10,5,8,0.0,20,0,0.0,when you drop something and it falls to the ground it falls because of high tide is caused by the moon pulls if the earth did not spin the pull of the sun on the earth is called when there is a very high tide the sun and the moon are the sun pulls the earth less than the moon because at low tide water molecules include the molecules of alcohol oil and water do not mix well because a molecule of water is something that is volatile this story is mainly about flowers with little smell or no smell at all insects in the story are attracted to a flower by this story is mainly about the dodo died out because the great auk was moas were
8,11,READING COMPREHENSION TEST 5,2,1800,10,5,8,0.0,20,0,0.0,a this story is mainly about quotextinctquot means workers found the workers mentioned in the story a this story is mainly about why do we owe this unknown man a great debt why can you see through a window the names of other discoverers and inventors are no longer known because a this story is mainly about the birds in the story are like rainbows in that the people in the story were dragonflies in the story are like this story is mainly about marco polo is called great because we know from the story that kublai khan liked marco because marco's book was this story is mostly about vasco da gama found the route to india by ship by a ship is better for carrying goods than a pack animal because columbus and vasco da gama are alike in that
9,12,READING COMPREHENSION TEST 6,2,1800,10,5,8,0.0,20,0,0.0,the king of spain sent magellan to find magellan was the straits of magellan are quotpacificquot means this story is mainly about molokai is father damien is famous because people were especially afraid of leprosy because this story is mainly about the person in the car is watching the sun seems to move people learned that the earth moves during the day and night the god of war in northern europe was called valhalla was the home of the strongest of the gods in northern europe was called the highest among the goddesses was called people in china thought that girls should have this story is mainly about the chinese wanted girls to have small feet because grandfathers of chinese men
